id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-T-0193,DTPHepBHib,DTP - HepB - Hib,,,
EHEZA-T-0194,EarlyMastitisOrEngorgement,Early Mastitis or Engorgement,Uburwayi bwo kubyimba amabere bwaje kare cyane,Iyuzura ry'amaberebere (Mastite précoce),
EHEZA-T-0195,Erythromycin500mg,Erythromycin (500mg),Erythromicine (500mg),Erythromycine (500 mg),
EHEZA-T-0196,ExcessiveBleeding,Excessive Bleeding,Kuva cyane,Kuva amaraso cane,Dhiigbax aad u daran
EHEZA-T-0197,FairlyHighPossibilityOfDepression,Fairly High Possibility of Depression,Birashoboka cyane ko afite indwara y'agahinda gakabije,Birashoboka cane kwihebura,
EHEZA-T-0198,FeverOfUnknownOriginLabel,Fever of Unknown Origin,Umuriro utazi icyawuteye,Ubushuhe bitazwi iyo bwazananye,Qandho aan asalkeeda la garanayn
EHEZA-T-0199,Glipenclamide5mg,Glipenclamide (5mg),,,
EHEZA-T-0200,Gonorrhea,Gonorrhea,Indwara y'umutezi,Ingwara yo mu bihimba vy'irondoka,
EHEZA-T-0201,Group,Group,Itsinda,Umurwi,Koox
EHEZA-T-0202,ContactExposure,Contact Exposure,,,
EHEZA-T-0203,ContactInformation,Contact Information,Uburyo bwakwifashishwa mu kugera ku mugenerwabikorwa,Amakuru y'uwo mwavuganye,Xogta Qofka
EHEZA-T-0204,CovidContactTracing,Covid Contact Tracing,Gushakisha abahuye n'uwanduye Covid-19,Kurondera uwo babonanye afise Korona,Raad raaca xiriirka Covid
EHEZA-T-0205,CounselorSignature,Entry Counselor Signature,,,
EHEZA-T-0206,CSectionReasons.Breech,Breech,Abanje ikibuno(umwana yaje yicaye),Ikirasi,
EHEZA-T-0207,CSectionReasons.Emergency,Emergency,Ibyihutirwa,Igihe co kwihuta,Deg-Deg
EHEZA-T-0208,CSectionReasons.FailureToProgress,Failure to Progress,Ntibyiyongera,Kunanirwa gutera imbere,Fashil Hor u socod
EHEZA-T-0209,CSectionReasons.PreviousCSection,Previous c-section,Kubagwa guheruka,Ugukorwa guheruka,Qalliin hore
EHEZA-T-0210,CreateRelationship,Create Relationship,Ibijyanye no guhuza amasano,Shiraho umubonano,Abuur Xiriir
EHEZA-T-0211,ChwDashboardLabel,CHW Snapshot,Ishusho y'ibyagezweho,Igicapo c'Abaremeshakiyago,Goob qabadka SHCB
EHEZA-T-0212,CurrentlyPregnant,Currently Pregnant,Aratwite,Afise imbanyi ubu,
EHEZA-T-0213,CurrentStock,Current Stock,Ibiri mu bubiko,,
EHEZA-T-0214,DangerSign.VaginalBleeding,Vaginal bleeding,Kuva,Ukuva amaraso mu gitsina,Dhiigbax makaanka ah
EHEZA-T-0215,DangerSign.HeadacheBlurredVision,Severe headaches with blurred vision,Kuribwa umutwe bidasanzwe ukareba ibikezikezi,Ukumeneka umutwe gukaze hamwe n'ukutabona neza,Madax xanuun leh arag wareer
EHEZA-T-0216,DangerSign.ExtremeWeakness,Extreme weakness,Gucika intege cyane,Gucika intege cane,Tabaryari aad u daran
EHEZA-T-0217,DangerSign.ImminentDelivery,Imminent delivery,Kubyara biri hafi,Gutanga bigaragara,Dhalmada soo gaartay Kafka
EHEZA-T-0218,DangerSign.Labor,Labor,Kujya ku nda,Ibise,Fool
EHEZA-T-0219,DangerSign.LooksVeryIll,Looks very ill,Ararembye cyane,Aboneka nk'uwugwaye cane,U muuqda mid aad u xanuunsan
EHEZA-T-0220,DangerSign.SevereVomiting,Severe vomiting,Araruka bikabije,Kugahwa birenze,Matag aad u daran
EHEZA-T-0221,DangerSign.Unconscious,Unconscious,Yataye ubwenge,Uguta ubwenge,Miyir daboolan
EHEZA-T-0222,DangerSign.GushLeakingVaginalFluid,Gush or leaking of vaginal fluid,Ibintu biva mu gitsina by'uruzi,Kwivomera hataragera,Qoyaan ama dheecaan ka socda makaanka
EHEZA-T-0223,DangerSign.PrematureOnsetContractions,Premature Onset of Contractions,,Ibise vyatanguye hataragera,Dhalmo isu diyaarinta aan bilo dhameesanin
EHEZA-T-0224,DangerSigns,Danger Signs,Ibimenyetso mpuruza,Ibimenyetso mburizi,Calaamadaha Halista ah
EHEZA-T-0225,Date,Date,Itariki,Itarike,Taariikhda
EHEZA-T-0226,DateOfContact,Date of Contact,Itariki bahuriyeho,Itarike yo kubonana,Taariikhda la sameeyay Xiriirka
EHEZA-T-0227,DatePregnancyConcluded,Date Pregnancy Concluded,Itariki y'iherezo ryo gutwita,Itarike imbanyi yarangiriyeko/yaherejeko,Taariikhda la gaba gabeeyay Uurka
EHEZA-T-0228,DashboardLabel,Dashboard,Ikibaho cy’amakuru y’ingenzi,Urubaho rw’amakuru,Daashbood
EHEZA-T-0229,DateReceived,Date Received,Italiki yakiriweho,Itarike yakiriwe,Taariikhda la Helay
EHEZA-T-0230,DateOfBirth,Date of Birth,Itariki y'amavuko,Itarike y'amavuko,Taariikhda Dhalashada
EHEZA-T-0231,DayAbbrev,Day,Umu,Umu,Maalinta
EHEZA-T-0232,DaysPresent,Days present,Igihe gishize,Iminsi ihari,maalmaha hadda
EHEZA-T-0233,DeliveryComplication.ComplicationEmergencyCSection,Emergency C-Section,Kubagwa bitewe n'impamvu zihutirwa,Ikorwa ry'ihuta,
EHEZA-T-0234,DeliveryComplication.ComplicationMaternalHemmorhage,Maternal Hemorrhage,Kuva amaraso ku mubyeyi utwite cyangwa nyuma yo kubyara,Ukuva amaraso kw'abavyeyi,
EHEZA-T-0235,DeliveryComplication.ComplicationMaternalDeath,Maternal Death,Urupfu rw'umubyeyi,Urupfu rw'abavyeyi,
EHEZA-T-0236,DeliveryLocation,Delivery Location,Aho yabyariye,Ahantu ho kuvyarira,Goobta Dhalmada
EHEZA-T-0237,DemographicInformation,Demographic Information,Umwirondoro,Amakuru y'ibiharuro vy'abantu,Xogta guud ee dadka
EHEZA-T-0238,DemographicsReport,Demographics Report,Raporo y'umwirondoro,Icegeranyo c'ibiharuro vy'abantu,Warbixinta dadka
EHEZA-T-0239,Details,Details,Mu buryo burambuye,,Faahfaahin
EHEZA-T-0240,DetectableViralLoad,Detectable Viral Load,Ingano ya virusi itera SIDA iracyagaragara mu maraso,Imenyekana/igaragara ry'umugera (virisi),
EHEZA-T-0241,Device,Device,Igikoresho,Igikoresho,Aalad
EHEZA-T-0242,DeviceStatus,Device Status,Uko igikoresho cy'ikoranabuhanga gihagaze,Ingene igikoresho kimeze,Xaalada Aalada
EHEZA-T-0243,Diabetes,Diabetes,Diyabete (Indwara y'igisukari),Diyabete,
EHEZA-T-0244,DiagnosedByOutsideCare,Diagnosed by outside care,Yasuzumiwe ku rindi vuriro,Gusuzumwa vyakorewe hanze,
EHEZA-T-0245,Diagnosis,Diagnosis,Uburwayi bwabonetse,Isuzumwa,Baaritaan
EHEZA-T-0246,DiagnosisDate,Diagnosis Date,Itariki y'Isuzuma,Itarike yo gusuzuma,Taariikhda Baaritaanka
EHEZA-T-0247,Diagnostics,Diagnostics,Gusuzuma uburwayi,Gusuzuma uburwayi,Baaritaano
EHEZA-T-0248,Diarrhea,Diarrhea,Impiswi,Gucibwamwo,Shuban
EHEZA-T-0249,DifferenceBetweenDueAndDeliveryDates,Difference between due date and delivery date,Ikinyuranyo kiri hagati y'amatariki,Itandukanirizo riri hagati y'itarike itegekanijwe kuvyara niy'umunsi avyariyeko,Farqiga u dhaxeeya taariikhda weli socota iyo taariikhda dhalmada
EHEZA-T-0250,DifficultyBreathingLabel,Difficulty breathing,Guhumeka nabi,Guhema nabi,Neefsashada oo adag
EHEZA-T-0251,DistributedAmount,Distributed Amount,Ingano yahawe,Igitigiri catanzwe,Qaddarka La Qaybiyay
EHEZA-T-0252,District,District,Akarere,Akarere,Degmo
EHEZA-T-0253,DOB,DOB,,DDN,TDH
EHEZA-T-0254,DueDate,Due Date,Itariki azabyariraho,Itarike ntarengwa,Taariikhda la Filayo
EHEZA-T-0255,EarlyMastitisOrEngorgmentReliefMethod.ReliefMethodIncreaseFluid,Increase fluid,Ongera ibyo kunywa,Kongereza amazi,Badi dareeraha
EHEZA-T-0256,EarlyChildhoodDevelopment,Early Childhood Development,Gahunda ikomatanije y'imikurire,Gukurikirana igikuriro c'umwana,
EHEZA-T-0257,Eclampsia,Eclampsia,Ekalampusi,Éclampsie,Ekalaamsiyo
EHEZA-T-0258,ECDStatus.StatusOffTrack,Off Track,Ntibyakozwe,Ntivyakozwe,Aan ku jirin
EHEZA-T-0259,ECDStatus.NoECDStatus,No Status,,,
EHEZA-T-0260,Edd,EDD,Itariki y'agateganyo yo kubyara,Itarike Yagereranijwe yo Kuvyara,
EHEZA-T-0261,EddHeader,Estimated Date of Delivery,Itariki y'agateganyo azabyariraho,Itarike Yagereranijwe yo Kuvyara,Taariikhda la Qiyaasay ee Dhalmada
EHEZA-T-0262,Edema,Edema,Kubyimba,Ukuvyimba amaguru,Barar
EHEZA-T-0263,EducationTopic.TopicSTD,STDs & Prevention of HIV,,Indwara zandurirwa mu mibonano mpuzabitsina no gukingira SIDA,Cudurada ku Faafa Galmada & Ka hortaga HIV
EHEZA-T-0264,EducationTopic.TopicMentalHealth,Mental Health Diseases & Epilepsy,,Indwara wo mu mutwe n'Intandara,Cudurada Dhimirka & Qallalka
EHEZA-T-0265,EducationTopic.TopicMalaria,Malarial diseases and the use of mosquito nets,,Indwara za Malariya n'ugukoresha umusegeera,Duumada iyo adeegsiga maro kaneecada
EHEZA-T-0266,Ega,EGA,Ibyumweru inda imaze,Ikigereranyo c'Imyaka yo Gusama,
EHEZA-T-0267,EgaHeader,Estimated Gestational Age,Amezi y'agateganyo y'inda,Ikigereranyo c'Imyaka yo Gusama,Da`da Uurka ee la Qiyaasay
EHEZA-T-0268,EgaWeeks,EGA (Weeks),EGA (Ibyumweru),AGE (Indwi),EGA (Todobaadyo)
EHEZA-T-0269,ElevatedRespiratoryRate,Elevated respiratory rate,Inshuro ahumeka zazamutse,Umuvuduko ukabije m'uguhema,Heerka Neefsashada waa Sarreeyaa
EHEZA-T-0270,EncounterDate,Encounter Date,Itariki igikorwa cyakoreweho,Itarike y'umubonano,Taariikhda Ogaanshaha
EHEZA-T-0271,Encounters,Encounters,,imibonano,
EHEZA-T-0272,EncounterTypes,Encounter Types,,Ubwoko bw'umubonano,Raadi qeybaha
EHEZA-T-0273,EncounterWarningForDiagnosisPane.WarningECDMilestoneBehind,Missed ECD Milestone,,,
EHEZA-T-0274,EncounterWarningForDiagnosisPane.WarningHeadCircumferenceMicrocephaly,Microcephaly,,,Madax Yarow
EHEZA-T-0275,EncounterWarningForDiagnosisPane.WarningHeadCircumferenceMacrocephaly,Macrocephaly,,,
EHEZA-T-0276,EntryStatusAntenatal.StatusOngoing,Open,,,Fur
EHEZA-T-0277,EntryStatusAntenatal.StatusResolved,Concluded,Byasojwe,Uguheraheza,La gaba gabeeyay
EHEZA-T-0278,EntryStatusDiagnosis.StatusOngoing,Ongoing,,Kubandanya,Socda
EHEZA-T-0279,EPDSPreformedOn,EPDS performed on,Igipimo cy'ukuntu yiyumva nyuma yo kubyara cyakozwe kuwa,Igipimo co kwihebura inyuma yo kuvyara ca Edinburgh ,
EHEZA-T-0280,Estimated,Estimated,Itariki y'amavuko igenekerejwe,Bigereranijwe,La qiyaasay
EHEZA-T-0281,EstimatedDeliveryDate,Estimated Delivery Date,,,Taariikhda la qiyaasay ee umulidda
EHEZA-T-0282,ExaminationTask.Vitals,Vitals,Ibimenyetso by'ubuzima,Ivyangombwa,Cabirada Muhiimka ah
EHEZA-T-0283,ExaminationTask.ObstetricalExam,Obstetrical Exam,Ibipimo by'inda,Gupima ivyara,
EHEZA-T-0284,ExaminationTask.GUExam,GU Exam,Isuzuma ry'imyanya ndangagitsina n'inzira z'inkari,Igipimo c'Ibihimba vy'irondoka hamwe n'amafyigo,Baaritaanka Caloosha
EHEZA-T-0285,ExpiryDate,Expiry Date,Itariki bizarangiraho,,
EHEZA-T-0286,ExposureTask.ExposureTravel,Travel History,Amakuru y'ingendo wakoze,Akahise k'ingendo,Taariikhda Safarka
EHEZA-T-0287,ExposureTask.ExposureExposure,Contact Exposure,Abantu mwahuye,Ukwerekana kumenyana,
EHEZA-T-0288,Extremities,Extremities,"Ku mpera z'ibice by'umubiri (ibiganza,ibirenge)",Ibirenze,Adimada
EHEZA-T-0289,Eyes,Eyes,Amaso,Amaso,Indhaha
EHEZA-T-0290,Facility,Facility,Ivuriro,Ikigo,Adeega
EHEZA-T-0291,FamilyEncounter,Family Encounter,Isuzuma ry'umuryango,Isuzumwa ry'umuryango,Ogaanshaha Qoyska
EHEZA-T-0292,FamilyHistoryOfPreeclampsia,Family history of pre-eclampsia,Amakuru ku muryango ku bijyanye na Preklampus,,
EHEZA-T-0293,FamilyInformation,Family Information,Amakuru ku muryango,Amakuru y'umuryango,Xogta Qoyska
EHEZA-T-0294,FamilyMembers,Family Members,Abagize umuryango,Abagize umuryango,Xubnaha Qoyska
EHEZA-T-0295,FamilyPlanningSignLabel.AutoObservation,Auto-observation,Kwigenzura ururenda,Umwihwezo wo ku giti canje,Iska-warqab
EHEZA-T-0296,FamilyPlanningSignLabel.Condoms,Condoms,Udukingirizo,udukingirizo,Cinjiro
EHEZA-T-0297,FamilyPlanningSignLabel.CycleBeads,Cycle beads,Urunigi,Ubudede bwo guharura kuja mu kwezi,Caado Ogaansho
EHEZA-T-0298,FamilyPlanningSignLabel.CycleCounting,Cycle counting,Kubara ,Uguharura kuja mu maraso,Caado Tiris
EHEZA-T-0299,FamilyPlanningSignLabel.Hysterectomy,Hysterectomy,Bakuyemo nyababyeyi,Ugukuramwo igitereko,
EHEZA-T-0300,FamilyPlanningSignLabel.Implants,Implants,Akapira ko mu kaboko,Ibibandikano,Beerid
EHEZA-T-0301,FamilyPlanningSignLabel.Injectables,Injectables,Urushinge,Agashinge,Durriin
EHEZA-T-0302,FamilyPlanningSignLabel.IUD,IUD,Akapira ko mu mura (agapira ko munda ibyara),Akanyuzi,IUD/Qalabka Minka la Geliyo
EHEZA-T-0303,FamilyPlanningSignLabel.LactationAmenorrhea,Lactation amenorrhea,Uburyo bwo konsa,Kutaja mu kwezi (mu gihe umuvyeyi wonsa),Caado go`a xilliga Naas nuujinta
EHEZA-T-0304,FamilyPlanningSignLabel.OralContraceptives,Oral contraceptives,Ibinini,Ibinini,Kaniinayada Uur Joojinta
EHEZA-T-0305,FamilyPlanningSignLabel.Spermicide,Spermicide,Ibinini byica intangangabo bicishwa mu gitsina,Ivyo guhagarika gusama imbanyi ucishije mu kanwa,
EHEZA-T-0306,FamilyPlanningSignLabel.TubalLigatures,Tubal ligatures,Gufunga umuyoborantanga ku bagore,Ugukata imiringoti izana amagi y'umugore mu gitereko,Min xirid
EHEZA-T-0307,FamilyPlanningSignLabel.Vasectomy,Vasectomy,Gufunga umuyoborantanga ku bagabo,ugukata imiringoti izana intanga z'abagabo,Xidid bixis (ragga)
EHEZA-T-0308,FamilyUbudehe,Family Ubudehe,Icyiciro cy'ubudehe umuryango uherereyemo,Amakoperative,
EHEZA-T-0309,FatherOrChiefId,Father or Chief of Family ID,Indangamuntu y'Umukuru w'Umuryango,Karangamuntu ya Serugo canke Umukuru w'umuryango,Aqoonsiga Aabaha ama Madaxa Qoyska
EHEZA-T-0310,FatherOrChiefName,Fathers or Chief of Family Name,Amazina y'Umukuru w'muryango,Amazina ya Serugo canke Umukuru w'umuryango,Magaca Aabaha madaxa Qoyska
EHEZA-T-0311,Fatigue,Fatigue,umunaniro,Uburuhe,Daal
EHEZA-T-0312,FbfDistribution.Achi,Aheza Distribution,Gutanga Aheza,Ugutanga kwa Aheza,
EHEZA-T-0313,Feeding,Feeding,Kugaburira umwana,Kugaburira umwana,Quudin
EHEZA-T-0314,FetalHeartRate,Fetal Heart Rate,Uko umutima w'umwana utera,Urugero rw'umwana ari mu nda,
EHEZA-T-0315,FetalMovement,Fetal Movement,Uko umwana akina mu nda,Ukwikomanga k'umwana mu nda,
EHEZA-T-0316,FetalPresentationLabel,Fetal Presentation,Uko umwana ameze mu nda,Ukugaragara kw'imbanyi iri mu nda,
EHEZA-T-0317,FetalPresentation.FetalBreech,Breech,Abanje ikibuno(umwana yaje yicaye),Kibanza,
EHEZA-T-0318,FetalPresentation.Cephalic,Cephalic,Umwana abanje umutwe,Igihe umutwe n'izosi biri imbere,
EHEZA-T-0319,FetalPresentation.Transverse,Transverse,Gitambitse (Umwana aritambitse),Umwana arakikamye,Banaanka usoo baxsan
EHEZA-T-0320,FetalPresentation.Twins,Twins,Impanga,Amahasa,Mataano
EHEZA-T-0321,FetalPresentation.UnclearImprecise,Unclear / Imprecise,Ntibisobanutse / Ntibigaragara neza,,
EHEZA-T-0322,Fever,Fever,Umuriro,Ubushuhe,Qandho
EHEZA-T-0323,FillTheBlanks,Nutrition Information,Amakuru ku Mirire,,
EHEZA-T-0324,Finish,Finish,Soza igikorwa,Guheza,Dhamee
EHEZA-T-0325,FirstName,First Name,Izina ry'idini,Izina ry’Iritazirano,Magaca Koowaad
EHEZA-T-0326,FiveVisits,Five visits,Inshuro eshanu,Ingendo zitanu,Shan Booqasho
EHEZA-T-0327,FoodGroup.FoodGroupVegetables,Vegetables,Imboga,Ivyamwa n'imboga,Khudaar
EHEZA-T-0328,FoodGroup.FoodGroupCarbohydrates,Carbohydrates,Ibinyamasukari,Ntanganguvu,Karboohaydaro
EHEZA-T-0329,FoodGroup.FoodGroupProtein,Protein,Ibyubakumubiri,Indemamubiri,
EHEZA-T-0330,FoodSecurity,Food Security,Kwihaza ku biribwa,Umutekano mu mfunguro,Sugnaanta Cunnada
EHEZA-T-0331,FollowPostpartumProtocols,Follow Postpartum Protocols,Kurikiza amabwiriza yo kwita ku mubyeyi wabyaye,Gukurikiza Inyandiko Ntumberezo zerekeye inyuma yo kwibaruka,Raac Hababka Dhalmada kadib
EHEZA-T-0332,FollowUp,Follow Up,Gukurikirana umurwayi,Kurikirana,Ka Warqab
EHEZA-T-0333,FollowUpOption.FollowUpNotNeeded,No follow up,,Kutagendera umugwayi,Lama raacin
EHEZA-T-0334,FollowUpDueOption.OverDue,Past Due,Itariki yarenze,Igihe carenze,Waqti hore
EHEZA-T-0335,FollowUpDueOption.DueToday,Due Today,Itariki yageze uyu munsi,Bitarenze uno munsi,Maanta oo kale
EHEZA-T-0336,FundalHeight,Fundal Height,Uburebure bwa Nyababyeyi,Uburebure bw'igitereko,Dhererka Ilma-galeenka
EHEZA-T-0337,Gender.Male,Male,Gabo,Gabo,Lab
EHEZA-T-0338,Gender.Female,Female,Gore,Gore,Dhadig
EHEZA-T-0339,GenderLabel,Gender,Igitsina,Igitsina,Jinsi
EHEZA-T-0340,GestationalDiabetes,Gestational Diabetes,Diyabete iterwa no gutwita,Diyabete y'imbanyi,
EHEZA-T-0341,GPSInfo,GPS Info,,,Macluumaadka GPS
EHEZA-T-0342,GPSLocation,GPS Location,,Akarere (Localisation),Goobta GPS
EHEZA-T-0343,GroupAssessment,Group Encounter,Gukorera itsinda,Inyigisho mukibano,Ogaanshiyo Koox
EHEZA-T-0344,Grams,grams,Amagarama,Amagarama,garaamyo
EHEZA-T-0345,Gravida,Gravida,Inda zose watwise,Inday ya,Tirada Dhalmada
EHEZA-T-0346,GroupEducation,Group Education,,Inyigisho mukibano,Wacyi gelin Kooxeed
EHEZA-T-0347,GroupOfFoods.Staples,"Staples (grains, roots and tubers)",Ibinyabijumba/Ibitera imbaraga,"Ibifungurwa vy'umushinge/vy'intango/vy'ibanze (intete, imizi hamwe n'amateke/amagoma)",Cunnada Qolofta leh
EHEZA-T-0348,GroupOfFoods.Legumes,"Legumes (beans, peas, cereals)","Ibinyamisogwe (Ibishyimbo, amashyaza, ibinyampeke)","Ibifungugwa bimeze nk'ibiharage/intete ziri mu bishishwa (ibiharage, ubushaza, intete)",Dalaga Qalfoofta leh
EHEZA-T-0349,GroupOfFoods.DairyProducts,Dairy products,Ibikomoka ku mata,Ivyavuye mu mata,Jeeni
EHEZA-T-0350,GroupOfFoods.AnimalSourceFoods,"Animal-source foods (flesh meats, eggs, fish, small fish (indagara))","Ibikomoka ku matungo (inyama, amagi, amafi, indagara)","Ibifungurwa biva ku bitungwa/ibikoko (inyama, amagi, amafi, indagara)","Cunnada ka timaada xoolaha (hilibka, ukunta, kaluunka (yuumbi)"
EHEZA-T-0351,GroupOfFoods.Eggs,Eggs,Amagi,Amagi,Ukumo
EHEZA-T-0352,GroupOfFoods.FruitsVegetables,Fruits and vegetables,Imbuto n'Imboga,Ivyamwa n'imboga,Miro iyo Khudaar
EHEZA-T-0353,GroupOfFoods.BreastMilk,Breastfeeding,Konka,Ukonka,Naas-nuujin
EHEZA-T-0354,GroupOfFoods.MealsWithEdibleOil,Meals with added edible oil,Ifunguro ryongewemo amavuta,Imfungugwa zongewemwo amavuta yo kurya,
EHEZA-T-0355,Growth,Growth,Imikurire,Ugukura,Koriinsho
EHEZA-T-0356,GWGClassification.GWGSeverelyInadequate,Severely Inadequate,Ibiro ntibyiyongera cyane ku buryo buhagije,,
EHEZA-T-0357,GWGClassification.GWGInadequate,Inadequate,Ibiro ntibyiyongera ku buryo buhagije,,
EHEZA-T-0358,GWGClassification.GWGAdequate,Adequate,Ibiro byiyongera ku buryo buhagije,,
EHEZA-T-0359,GWGClassification.GWGExcessive,Excessive,,,
EHEZA-T-0360,GWGClassificationLabel,GWG Classification,Ibyiciro by'iyongera ry’ibiro mu gihe cyo kutwita (GWG),,
EHEZA-T-0361,HandPallor,Hand Pallor,Ikiganza cyerurutse,Kweragurika mu ntoke,Gacmo Caddoow
EHEZA-T-0362,Hands,Hands,Ibiganza,Ibiganza,Gacmo
EHEZA-T-0363,HardlyEver,Hardly ever,Gake gashoboka,Biragoye bukebuke,Marnaba aan dhicin
EHEZA-T-0364,HBA1C,HBA1C,Ikigereranyo cy'isukari mu maraso mu mezi atatu ashize,Igipimo co kuraba ingene isukari ingana mu maraso,
EHEZA-T-0365,HbA1cPercentage,Percentage (%),Ku ijana (%),Ivyo kw'ijana (%),Boqolkiiba (%)
EHEZA-T-0366,HCRecommendation.ChwMonitoring,CHW should continue to monitor,cyemeza ko umujyanama w’ubuzima agomba gukomeza gukurikirana umurwayi,Abaremeshakiyago bategerezwa gukurikirana/kubandanya baraba,SHCB waa inuu sii wadaa la socodka
EHEZA-T-0367,HeadacheLabel,Headache,Kubabara umutwe,Kumeneka umutwe,Madax xanuun
EHEZA-T-0368,HeadHair,Head/Hair,Umutwe/Umusatsi,Umutwe/umushatsi,Madaxa/Timaha
EHEZA-T-0369,HealthCenter,Health Center,Ikigo Nderabuzima,Ivuriro,Xarun Caafimaad
EHEZA-T-0370,HealthEducation,Health Education,Inyigisho ku buzima,Inyigisho ntugamagara,Wacyi Gelin Caafimaad
EHEZA-T-0371,HealthEducationNotProvided,No health education provided,Nta nyigisho ku buzima zatanzwe,Nta nyigisho z'amagara meza zatanzwe,Lama siini wacyi gelin caafimaad
EHEZA-T-0372,HealthEducationProvided,Health education provided,Hatanzwe inyigisho ku buzima,Inyigisho z'amagara zitanzwe,La siiyay Wacyi Gelin Caafimaad
EHEZA-T-0373,HealthTopics,Health Topics,,Imitwe y'ivyigwa vy'amagara meza,Cinwaanada caafimaadka
EHEZA-T-0374,Heart,Heart,Umutima,Umutima,Wadne
EHEZA-T-0375,HeartburnLabel,Heartburn,Ikirungurira,Ugusha k'umutima,
EHEZA-T-0376,HeartburnReliefMethod.ReliefMethodCeaseSmoking,Cease smoking ,Hagarika kunywa itabi,Guhagarika kunywa itabi,
EHEZA-T-0377,HeartburnReliefMethod.ReliefMethodSleepWithHeadRaised,Sleep with their head raised in the bed,Gerageza kuryama umutwe wegutse/useguye,Kuryama umutwe usangamuye mu gitanda,Madaxa kor u yara taag xilliga jiifka
EHEZA-T-0378,HeartMurmur,Heart Murmur,Ijwi ry'umutima igihe utera,Kongorera k'umutima,Rucleynta Wadnaha
EHEZA-T-0379,HeartCPESign.IrregularRhythm,Irregular Rhythm,Injyana ihindagurika,Ingendo ihindagurika,Rucleyn aan nidaamsanayn
EHEZA-T-0380,HeartCPESign.NormalRateAndRhythm,Normal Rate And Rhythm,Bimeze neza/Injyana imeze neza,Igipimo hamwe n'umudundo bisazwe,Heerka Caadiga ah iyo Dhawaqa
EHEZA-T-0381,HeartCPESign.SinusTachycardia,Sinus Tachycardia,Gutera k'umutima birenze cyane igipimo gisanzwe,Itera ry'umutima ridasanzwe,
EHEZA-T-0382,HeartRate,Heart Rate,Gutera k'umutima (inshuro umutima utera),Ugutera k'umutima,Garaaca Wadnaha
EHEZA-T-0383,HeartRateNotAudible,Heart rate not audible,Umutima w'umwana ntago wumvikana,,
EHEZA-T-0384,Height,Height,Uburebure,Uburebure,Dhirika
EHEZA-T-0385,HemoglobinTestHistory,Hemoglobin Test History,Amakuru ku kizamini cy'ingano y'amaraso,,
EHEZA-T-0386,High,High,,Hejuru,Sare
EHEZA-T-0387,HighRiskCase,high-risk case,afite ibyago byinshi byo kuba yaranduye,Ingorane idasanzwe,Xaalad Halisteedu Sarreyso
EHEZA-T-0388,HighRiskFactors,High Risk Factors,Abafite ibyago byinshi byo,Impamvu z'ingorane zaduze,Arrimaha Halista Sare leh
EHEZA-T-0389,HighRiskOfPreeclampsia,High Risk of Preeclampsia,Afite ibyago byinshi byo kugira Preklampusi,,
EHEZA-T-0390,HighSeverityAlerts,High Severity Alerts,Bimenyetso mpuruza bikabije,Ibimenyesha vyinshi vyaduze,Digniin Halisteeda Sarreyso
EHEZA-T-0391,History,History,Amakuru,Akahise,Taariikh
EHEZA-T-0392,HistoryOfMentalHealthProblems,History of Mental Health Problems,Niba yaragize uburwayi bwo mumutwe,Akahise k'ingorane y'ingwara yo mu mutwe,
EHEZA-T-0393,HistoryTask.Social,Partner Information,Amakuru y'uwo bashakanye (umugabo),Amakuru y'umushingantahe,
EHEZA-T-0394,HIV,HIV,Virusi itera SIDA,Umugera wa SIDA,
EHEZA-T-0395,HIVFollowUpLabel,HIV Follow up,,,
EHEZA-T-0396,HIVPCRTestResult,HIV PCR Test Result,Ibisubizo by'ikizamini cya PCR gipima Virusi itera SIDA,Inyishu y'igipimo ca PCR ya VIH,
EHEZA-T-0397,HIVPrescribedMedication.HIVMedicationDolutegravirLamivudineTenofovir,Dolutegravir + Lamivudine + Tenofovir (DTG-3TC-TDF),,,
EHEZA-T-0398,HIVPrescribedMedication.HIVMedicationAtazanavirRitonavir,Atazanavir + Ritonavir (ATZ/r),,,
EHEZA-T-0399,HIVPrescribedMedication.HIVMedicationDolutegravir,Dolutegravir (DTG),,,
EHEZA-T-0400,HIVPrescribedMedication.HIVMedicationAbacavirLamivudine,Abacavir + Lamivudine (ABC-3TC),,,
EHEZA-T-0401,HIVPrescribedMedication.HIVMedicationLamivudineTenofovir,Lamivudine + Tenofovir (3TC-TDF),,,
EHEZA-T-0402,HIVPrescribedMedication.HIVMedicationZidovudine,Zidovudine (liquid) (AZT),,,
EHEZA-T-0403,HIVPrescribedMedication.HIVMedicationLamivudineZidovudineNevirapine,Lamivudine + Zidovudine + Nevirapine (3TC-AZT-NVP),,,
EHEZA-T-0404,HIVPrescribedMedication.HIVMedicationEfavirenzLamivudineTenofovir,Efavirenz + Lamivudine + Tenofovir (EFV-3TC-TDF),,,
EHEZA-T-0405,HIVPrescribedMedication.HIVMedicationLamivudineZidovudine,Lamivudine + Zidovudine (3TC-AZT),,,
EHEZA-T-0406,HIVPrescribedMedication.HIVMedicationLopinavirRitonavir,Lopinavir + Ritonavir (LPV/r),,,
EHEZA-T-0407,HIVPrescribedMedication.HIVMedicationDarunavirRitonavir,Darunavir + Ritonavir (DRV/r),,,
